ID,Advocate Name,Location,Experience (Years),Specialization,Notable Cases Handled,Fee (INR)
1,Adv. Aarav Saxena,Chandigarh,8,Criminal Law,Corporate Frauds,30578
2,Adv. Vikram Narang,Shimla,9,Banking & Finance Law,GST Fraud,23413
3,Adv. Om Prakash Khanna,Bangalore,9,International Law,Court-Martial Cases,16506
4,Adv. Tarun Malhotra,Jodhpur,12,Human Rights Law,Copyright Disputes,49128
5,Adv. Sunita Chopra,Vijayawada,15,Public Interest Law,Liability Cases,46039
6,Adv. Parth Sen,Udaipur,19,Cyber Crime Law,Trademark Infringement,10748
7,Adv. Rajeev Kaur,Bhavnagar,7,Environmental Law,Counterfeit Cases,12417
8,Adv. Arjun Nair,Delhi,19,Civil Litigation,Parental Rights,18657
9,Adv. Priya Bhasin,Coimbatore,20,White Collar Crimes,Privacy Issues,37679
10,Adv. Chetan Vyas,Indore,11,Aviation Law,Contract Breaches,5208
11,Adv. Varun Malhotra,Kanpur,10,Charity & NGO Law,Corporate Frauds,35508
12,Adv. Tanvi Malik,Chandigarh,5,Real Estate Law,Illegal Construction,47804
13,Adv. Ajay Rana,Warangal,19,International Law,Doping Cases,12838
14,Adv. Varun Sinha,Ranchi,8,Cyber Crime Law,Bank Frauds,23297
15,Adv. Anjali Khandelwal,Pune,19,International Law,Property Disputes,5108
16,Adv. Sneha Saxena,Hyderabad,12,Gender Rights Law,Bank Fraud,22372
17,Adv. Mohit Kulkarni,Bhavnagar,18,Animal Rights Law,Rent Disputes,28261
18,Adv. Vikram Das,Nashik,10,Railway Law,Air Accidents,25263
19,Adv. Divya Bhardwaj,Siliguri,18,Banking Fraud Law,Debt Negotiations,9526
20,Adv. Aarav Sharma,Nashik,13,Medical Negligence Law,Bank Fraud,42666
21,Adv. Aditya Sinha,Gorakhpur,9,Defamation Law,Unlawful Termination,38015
22,Adv. Kavita Kapoor,Kolkata,13,Military Law,Bank Fraud,28408
23,Adv. Manish Kulkarni,Pune,7,Human Rights Law,Loan Disputes,25944
24,Adv. Divya Jain,Nagpur,20,Environmental Law,Parental Rights,19365
25,Adv. Ritu Bhatia,Bangalore,5,Real Estate Law,Custody Cases,16750
26,Adv. Yogesh Tiwari,Kanpur,12,Consumer Protection Law,Income Tax Disputes,28102
27,Adv. Ajay Sharma,Nashik,19,Human Rights Law,Film Contracts,10694
28,Adv. Vikram Chopra,Kanpur,11,Financial Law,Road Accidents,6781
29,Adv. Pooja Mehta,Chandigarh,11,Human Rights Law,Patent Infringements,6429
30,Adv. Dheeraj Reddy,Madurai,20,Animal Rights Law,Workplace Harassment,27232
31,Adv. Dheeraj Gupta,Gwalior,10,Environmental Law,Custody Cases,16676
32,Adv. Parth Pandey,Agra,12,Civil Litigation,LGBTQ+ Rights Cases,34397
33,Adv. Swati Kapoor,Ranchi,11,Family Law,Human Rights Violations,16172
34,Adv. Alok Mishra,Amritsar,10,Medical Negligence Law,Dispute Settlements,33373
35,Adv. Ritika Chatterjee,Bhopal,18,Banking & Finance Law,Court-Martial Cases,35956
36,Adv. Kunal Arora,Mumbai,17,Corporate Law,Wrong Diagnosis,22482
37,Adv. Priya Dixit,Noida,12,Civil Litigation,Government Accountability,25683
38,Adv. Kavita Tiwari,Guwahati,12,International Law,Visa Fraud,24245
39,Adv. Sneha Gupta,Surat,11,Defamation Law,NGO Registration,23325
40,Adv. Veena Rajput,Patna,8,Media & Entertainment Law,Landlord-Tenant Issues,16738
41,Adv. Suraj Yadav,Pune,12,Constitutional Law,Homicide,22696
42,Adv. Tanvi Chatterjee,Thiruvananthapuram,16,Gender Rights Law,Property Disputes,11893
43,Adv. Akash Bhardwaj,Pune,6,Trademark & Patent Law,Loan Disputes,13944
44,Adv. Priya Patel,Indore,11,Human Rights Law,Liability Cases,19272
45,Adv. Om Prakash Menon,Madurai,6,Taxation Law,Discrimination Cases,11062
46,Adv. Sunita Pillai,Kanpur,7,Real Estate Law,Bank Frauds,11066
47,Adv. Nidhi Chauhan,Coimbatore,14,Animal Rights Law,Financial Frauds,14287
48,Adv. Rashi Menon,Pune,16,Cyber Crime Law,Slander Cases,14671
49,Adv. Ashwin Chopra,Surat,20,Medical Negligence Law,Data Breach,26079
50,Adv. Rashi Kaur,Hyderabad,6,Gender Rights Law,Land Grabbing,28693
51,Adv. Ramesh Sharma,Varanasi,20,Transportation Law,Domestic Violence,19206
52,Adv. Ashwin Kapoor,Siliguri,11,Election Law,Narcotics,15725
53,Adv. Rajeev Bhardwaj,Gorakhpur,5,Insurance Law,Juvenile Justice,5612
54,Adv. Rashi Saxena,Asansol,20,Corporate Law,Online Harassment,21771
55,Adv. Raghav Soni,Allahabad,19,Financial Law,Cybercrime,38575
56,Adv. Priya Verma,Mumbai,5,Election Law,Police Brutality,17592
57,Adv. Om Prakash Bhardwaj,Ahmedabad,14,Taxation Law,Illegal Possession,6924
58,Adv. Pooja Rajput,Goa,20,Defamation Law,Drug Trafficking,22212
59,Adv. Kavita Menon,Bareilly,15,Defamation Law,Air Accidents,13801
60,Adv. Megha Chauhan,Chennai,19,Public Interest Law,Business Disputes,20717
61,Adv. Ishita Khandelwal,Agra,6,Adoption & Surrogacy Law,Forged Cheques,41377
62,Adv. Rajeev Verma,Udaipur,7,Arbitration & Mediation,Wrong Diagnosis,42770
63,Adv. Ashwin Verma,Bangalore,14,Environmental Law,Asylum Cases,26316
64,Adv. Ajay Chatterjee,Solapur,19,Media & Entertainment Law,Passenger Rights,22142
65,Adv. Anjali Verma,Patna,20,Cyber Law,Passenger Rights,13475
66,Adv. Nitin Mishra,Nagpur,7,Intellectual Property Law,Business Disputes,12836
67,Adv. Yogesh Gupta,Amritsar,10,Criminal Law,Data Breach,40366
68,Adv. Ashwin Vyas,Guwahati,12,Elder Law,Visa Fraud,45918
69,Adv. Deepa Saxena,Surat,11,Environmental Law,Fund Mismanagement,31660
70,Adv. Neha Verma,Thiruvananthapuram,8,Constitutional Law,Discrimination Cases,31145
71,Adv. Nidhi Kapoor,Delhi,14,Media & Entertainment Law,Loan Disputes,32495
72,Adv. Bhavna Vyas,Noida,8,Banking & Finance Law,GST Fraud,44844
73,Adv. Devansh Sen,Kolkata,16,Insurance Law,Pollution Violations,14309
74,Adv. Rohan Kapoor,Pune,12,White Collar Crimes,Visa Fraud,49431
75,Adv. Kavita Sharma,Siliguri,13,Arbitration & Mediation,LGBTQ+ Rights Cases,20755
76,Adv. Akash Khanna,Goa,7,Intellectual Property Law,Fraudulent Insurance Claims,43396
77,Adv. Nidhi Chopra,Gwalior,13,Cyber Law,Fraudulent Insurance Claims,20539
78,Adv. Om Prakash Iyer,Siliguri,11,Railway Law,Contract Breaches,19050
79,Adv. Veena Reddy,Ahmedabad,14,Gender Rights Law,RTI Cases,31903
80,Adv. Anjali Arora,Nagpur,6,Banking Fraud Law,Breach of Contracts,6405
81,Adv. Dheeraj Bhasin,Asansol,19,Civil Litigation,Illegal Construction,47868
